[2017-10-27 16:42:28] 店铺[allroot]开始回复ebayMessage第2条91382876250
[2017-10-27 16:42:30] 店铺[allroot]第2条回复ebayMessage成功,开始更新数据库
[2017-10-27 16:42:30] 店铺[allroot]回复ebayMessage第2条更新数据库成功
[2017-10-27 16:42:30] 店铺[allroot]开始回复ebayMessage第3条91382876250
[2017-10-27 16:42:33] 店铺[allroot]第3条回复ebayMessage成功,开始更新数据库
[2017-10-27 16:42:33] 店铺[allroot]回复ebayMessage第3条更新数据库成功
[2017-10-27 16:42:33] 店铺[allroot]开始回复ebayMessage第4条91382876250
[2017-10-27 16:42:52] 店铺[allroot]第4条回复ebayMessage成功,开始更新数据库
[2017-10-27 16:42:52] 店铺[allroot]回复ebayMessage第4条更新数据库成功
[2017-10-27 16:42:52] 店铺[allroot]开始回复ebayMessage第5条91382876250
[2017-10-27 16:42:55] 店铺[allroot]第5条回复ebayMessage成功,开始更新数据库
[2017-10-27 16:42:55] 店铺[allroot]回复ebayMessage第5条更新数据库成功
[2017-10-27 16:42:55] [回复ebayMessage]执行完毕,每天16点同步
[2017-10-27 16:43:00] [回复ebayMessage]启动成功,每天16点同步
[2017-10-27 16:43:01] [回复ebayMessage]本次共有[3]个店铺需回复,启用[3]个线程进行处理.
[2017-10-27 16:43:01] 开始回复ebayMessage,等待API响应 2017-10-27 16:43:01
[2017-10-27 16:43:01] 店铺[5cn8841]没有需要回复的ebayMessage
[2017-10-27 16:43:01] 开始回复ebayMessage,等待API响应 2017-10-27 16:43:01
[2017-10-27 16:43:01] 店铺[allroot]没有需要回复的ebayMessage
[2017-10-27 16:43:01] 开始回复ebayMessage,等待API响应 2017-10-27 16:43:01
[2017-10-27 16:43:01] 店铺[allroot]没有需要回复的ebayMessage
[2017-10-27 16:43:10] [回复ebayMessage]执行完毕,每天16点同步
[2017-11-02 19:12:16] [同步ebayMessage]启动成功,每隔15分钟下载一次
[2017-11-02 19:12:18] [同步ebayMessage]本次共有[3]个店铺需下载Message,启用[3]个线程进行处理.
[2017-11-02 19:12:18] 开始下载ebayMessage,等待API响应 2017-11-02 19:12:18
[2017-11-02 19:12:20] 下载用户：neilwang店铺[5cn8841]Message标题成功,共0条
[2017-11-02 19:12:20] 开始下载ebayMessage,等待API响应 2017-11-02 19:12:20
[2017-11-02 19:12:21] 开始下载ebayMessage,等待API响应 2017-11-02 19:12:21
[2017-11-02 19:12:21] 下载用户：allroot123店铺[allroot]Message共27条
[2017-11-02 19:12:21] 下载用户：allroot123店铺[allroot]Message第1条MessageID:93048357080已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第2条MessageID:92980972960已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第3条MessageID:92856862200已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第4条MessageID:92855857470已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第5条MessageID:92723943900已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第6条MessageID:92708681560已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第7条MessageID:92650380900已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第8条MessageID:92581663090已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第9条MessageID:92578576850已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第10条MessageID:92440435980已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第11条MessageID:92194369400已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第12条MessageID:92038754190已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第13条MessageID:91953793920已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第14条MessageID:91576887160已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第15条MessageID:91398114030已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第16条MessageID:91382876250已存在,不下载
[2017-11-02 19:12:22] 下载用户：allroot123店铺[allroot]Message第17条MessageID:91193825460已存在,不下载
